  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
       623      5.052           5.013           6.352           5.604
       624      4.825           4.780           6.153           5.385
       625      4.943           4.908           6.207           5.470
       626      5.084           5.045           6.415           5.648
       627      5.133           5.105           6.432           5.692
       628      5.019           4.982           6.306           5.560
       629      5.220           5.183           6.461           5.739
       630      5.273           5.244           6.536           5.808
       631      5.131           5.095           6.419           5.671
       632      5.061           5.026           6.298           5.577
       633      5.051           5.008           6.321           5.575
       634      5.133           5.085           6.410           5.668
       635      5.053           5.015           6.339           5.598
       636      5.061           5.015           6.354           5.597
       637      5.032           4.998           6.286           5.549
       638      5.060           5.021           6.320           5.579
       639      5.181           5.140           6.437           5.698
       640      5.139           5.093           6.380           5.655
       641      5.217           5.185           6.470           5.739
       642      5.369           5.333           6.599           5.875
